"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"8649799473","","","","","2010-02-04 22:07:49 +0000","web","Practicing some ""harpsichord"" for Brandenburg Cto. #2 while this new laptop HD comes to room temp. UPS trucks must be freezing in the back."
"8647039132","8599191881","15523823","","","2010-02-04 20:46:45 +0000","web","@talcon Eastman's Twitter gets updates from Facebook, which is updated by either me or Helene/Communications."
"8646933042","","","","","2010-02-04 20:43:34 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","Love this gym. Spring Fling! (@ Downtown Fitness Club) http://4sq.com/4E6XiE"
"8598549554","","","","","2010-02-03 18:48:04 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","Rehearsal and in-office work (@ Eastman School of Music) http://4sq.com/aQ3Old"
"8596583716","","","","","2010-02-03 17:49:16 +0000","web","Alright Twitter, I'll give you another shot. Let's see how long this lasts."
"8596575376","","","8594012650","15523823","2010-02-03 17:49:01 +0000","web","RT @talcon: I'm sorry but what the hell is she thinking....http://tinyurl.com/ybsosj2"
"8593556397","","","","","2010-02-03 16:23:04 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at World Hair (, ). http://4sq.com/a4Qp1Y"
"8569535552","","","","","2010-02-03 02:16:54 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","LOST (@ Southeast Towers II) http://4sq.com/9oqkRG"
"8569535307","","","","","2010-02-03 02:16:54 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I just became the mayor of Southeast Towers II on @foursquare! http://4sq.com/9oqkRG"
"8565228050","","","","","2010-02-03 00:27:36 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","Choir rehearsal (@ First Unitarian Church) http://4sq.com/driSRr"
